AthleteGUID,AthleteName,AthleteGender,Nationality
1351503,Mohamed Attaoui,M         ,ESP
1350542,Ishmael Kipkurui,M         ,KEN
1194566,Arshad Nadeem,M         ,PAK
1472422,Stella Rutto,W         ,ROU
1459735,Thi Nhi Yen Tran,W         ,VIE
1458532,Guillem Arderiu,M         ,AND
1430681,Larissa Moreira,W         ,BRA
1425925,Alex Orlando Macuacua,M         ,MOZ
1422808,Nicolae Alexandru Soare,M         ,ROU
1417813,Frank Hoye Moukoula Wissy,M         ,GAB
1416324,Valentin Soca,M         ,URU
1412357,Valters Kreišs,M         ,LAT
1408085,Gabriela De Sousa Muniz,W         ,BRA
1401742,Craig Gill,M         ,GIB
1395675,Elie Bacari,M         ,BEL
1393361,Debbie Donald,W         ,NZL
1393222,Thrainn Hafsteinsson,M         ,ISL
1393220,Daley Thompson,M         ,GBR
1393212,Robert De Wit,M         ,NED
1386593,Marc Anthony Ibrahim,M         ,LBN
1371116,Jun Jie Calvin Quek,M         ,SGP
1361595,Briana Scott,W         ,CAN
1360325,Prisca Chesang,W         ,UGA
1360319,Rogers Kibet,M         ,UGA
1360185,Ralford Mullings,M         ,JAM
1353425,Hana Burzalová,W         ,SVK
1350857,Rahel Daniel,W         ,ERI
1350760,Muzala Samukonga,M         ,ZAM
1349486,Andrew Boniface,M         ,TAN
1348928,Cian Oldknow,W         ,RSA
1329006,Fanni Rapai,W         ,HUN
1327955,Luke Micallef,M         ,MLT
1350512,Craig Thorne,M         ,CAN
1350134,Anna Yusupova,W         ,AZE
1347393,Diu Chun Hei,M         ,HKG
1327706,Dillon Cassar,M         ,MLT
1327274,Cesar Almiron,M         ,PAR
1327007,Werkwuha Getachew,W         ,ETH
1323230,Andrea Cosi,M         ,ITA
1308881,Megan Keith,W         ,GBR
1308481,Ella Onojuvwevwo,W         ,NGR
1308320,Taiga Yokochi,M         ,JPN
1305289,Ken Toyoda,M         ,JPN
1179631,Anderson Peters,M         ,GRN
1304509,Alexa Sulyán,W         ,NULL
1298637,Hana Moll,W         ,USA
1308674,Weldon Kipkirui,M         ,KEN
1308416,Maria Lucineida Da Silva,W         ,BRA
1307874,Ole Jakob Høsteland Solbu,M         ,NOR
1303009,Johanna Göring,W         ,GER
1298709,Zerei Mezngi,M         ,NOR
1298440,Samuel Pihlström,M         ,SWE
1298197,Francesco Pernici,M         ,ITA
1296500,Joel Ibler Lillesø,M         ,DEN
1295605,Miranda Coetzee,W         ,RSA
1349971,Bhawna Jat,W         ,IND
