AthleteGUID,AthleteName,AthleteGender,Nationality
1137606,Jax Thoirs,M         ,GBR
1185747,Ethan Walsh,M         ,GBR
1112304,Rhys Searles,M         ,GBR
1222277,Frankie Johnson,M         ,GBR
1262443,Ethan Akanni,M         ,GBR
1176351,Jack Hatton,M         ,GBR
1168438,Rushane Thomas,M         ,GBR
1209854,Miguel Perera,M         ,GBR
1160229,Jake Porter,M         ,GBR
1171814,Paige Fairclough,W         ,GBR
1149755,Hannah Brier,W         ,GBR
1147827,Hannah Williams,W         ,GBR
1073198,Torema Thompson,W         ,GBR
1160697,Katy Wyper,W         ,GBR
1137182,Kim Baptiste,W         ,GBR
1162444,Sharnee Skervin,W         ,GBR
1184899,Psalm Roberts Nash,M         ,GBR
1237746,Harry Russell,M         ,GBR
1161772,Christian Byron,M         ,GBR
1263432,Jonny White,M         ,GBR
1158420,Joe Reid,M         ,GBR
1279227,Matthew Linsley,M         ,GBR
1177691,Edward Dodd,M         ,GBR
1195452,Will Snook,M         ,GBR
1239759,George Armstrong,M         ,GBR
1123009,Zane Duquemin,M         ,GBR
1156978,Nick Percy,M         ,GBR
1264310,Samuel Woodley,M         ,GBR
1144691,Gregory Thompson,M         ,GBR
1145968,Lauren Thompson,W         ,GBR
1139605,Hayley McLean,W         ,GBR
1048603,Gemma Bennett,W         ,GBR
1147652,Megan Marrs,W         ,GBR
1253398,Sophie Hay,W         ,GBR
1186142,Adam Jones,M         ,GBR
1180276,Ryan Webb,M         ,GBR
1172985,Akin Coward,M         ,GBR
1257892,Adam Brooks,M         ,GBR
1209895,Jamie Anderson,M         ,GBR
1190556,William Grimsey,M         ,GBR
1189003,Natasha Harrison,W         ,GBR
1156018,Amy Hillyard,W         ,GBR
1127656,Krystal Galley,W         ,GBR
1080052,Stacey Downie,W         ,GBR
1151744,Rhiannon Hawker,W         ,GBR
1160524,Holly Gregory,W         ,GBR
1185768,Yasmin Liverpool,W         ,GBR
1162020,Kayleigh Presswell,W         ,GBR
1197717,Pippa Wingate,W         ,GBR
1139190,Rachel Hunter,W         ,GBR
1197229,Katie Head,W         ,GBR
1209269,Katie Lambert,W         ,GBR
1219692,Alice Barnsdale,W         ,GBR
1158588,Jessica Mayho,W         ,GBR
1043367,Lucy Marshall,W         ,GBR
1189903,Emily Gargan,W         ,GBR
1086807,Kitty Eleyae,W         ,GBR
1079766,Abigail Irozuru,W         ,GBR
1128242,Sarah Abrams,W         ,GBR
1189121,Josie Oliarnyk,W         ,GBR
1252376,Ollie Biddle,M         ,GBR
1203142,Niclas Baker,M         ,GBR
1184027,Lee Thompson,M         ,GBR
1176469,Owen Smith,M         ,GBR
1284148,Kyle Alexander,M         ,GBR
1222054,Jason Hoyle,M         ,GBR
1259819,Jack Hocking,M         ,GBR
1163663,Eliott Powell,M         ,GBR
1192063,Ellis Greatrex,M         ,GBR
1222484,Robert Shipley,M         ,GBR
1205116,Krishawn Aiken,M         ,GBR
1155387,Adam Walker-Khan,M         ,GBR
1238862,Lewis Davey,M         ,GBR
1232645,Matthew Overall,M         ,GBR
1235702,Caius Joseph,M         ,GBR
1288002,Scott Connal,M         ,GBR
1211209,Leah Hillman,W         ,GBR
1083138,Rosie Semenytsh,W         ,GBR
1076298,Laura Whittingham,W         ,GBR
1238339,Rebekah Walton,W         ,GBR
1183992,Bethan Rees,W         ,GBR
1113989,Freya Jones,W         ,GBR
1153029,Emma Hamplett,W         ,GBR
1194508,Louise Lacy,W         ,GBR
1261794,Reece Middleton,M         ,GBR
1073774,Tom Druce,M         ,GBR
1171733,Ollie Smith,M         ,GBR
1195745,Joel Richardson,M         ,GBR
1280161,Liam Mcgivern,M         ,GBR
1132797,Kirsten McAslan,W         ,GBR
1256169,Elliot Thompson,M         ,GBR
1243788,Esther Leong,W         ,GBR
1252954,Sophie Ashurst,W         ,GBR
1239472,Elizabeth Edden,W         ,GBR
1246124,Felicia Miloro,W         ,GBR
1164653,Clare Blunt,W         ,GBR
1201815,Daniel Mees,M         ,GBR
1244681,Andrew McAslan,M         ,GBR
1115167,Greg Louden,M         ,GBR
1145958,Luke Edwards,M         ,GBR
1241721,Matt Harris,M         ,GBR
1161470,Ryan Gorman,M         ,GBR
1218774,Regan O’Connell,M         ,GBR
1210753,Sam Ige,M         ,GBR
1233811,Morgan Amed,M         ,GBR
1201281,William Hughes,M         ,GBR
1215416,Joe Brier,M         ,GBR
1198924,Kayla Bowley,W         ,GBR
1237876,Amy Odunaiya,W         ,GBR
1209106,Risqat Fabunmi-Alade,W         ,GBR
1220186,Tom Horton,M         ,GBR
1170587,Seun Okome,M         ,GBR
1096068,Nathan Fox,M         ,GBR
1169891,Kevin Metzger,M         ,GBR
1086560,Julian Reid,M         ,GBR
1188569,Lawrence Davis,M         ,GBR
1137144,Efe Uwaifo,M         ,GBR
1136681,Jonathan Ilori,M         ,GBR
1170024,Youcef Zatat,M         ,GBR
1243531,Daniel Cartwright,M         ,GBR
1146493,Scott Lincoln,M         ,GBR
1157289,Efekemo Okoro,M         ,GBR
1157648,Sam Plumb,M         ,GBR
1246899,Daniel Rees,M         ,GBR
1197314,Alex Daley,M         ,GBR
1190684,Max Schopp,M         ,GBR
1244679,Alastair Chalmers,M         ,GBR
1168195,Jack Lawrie,M         ,GBR
1153575,Connor Henderson,M         ,GBR
1265588,Joshua Faulds,M         ,GBR
1195902,Lennox Thompson,M         ,GBR
1194473,Lauren Rule,W         ,GBR
1161818,Nathan Gilbert,M         ,GBR
1190169,Nicholas Walsh,M         ,GBR
1210972,Joshua Brown,M         ,GBR
1137846,Daniel Brooks,M         ,GBR
1149622,Ade Adewale,M         ,GBR
1098584,Andrew Robertson,M         ,GBR
1159395,Kyle de Escofet,M         ,GBR
1156932,Marvin Popoola,M         ,GBR
1257422,Alwayne Campbell,M         ,GBR
1109735,Chris Shorthouse,M         ,GBR
1155076,Craig Murch,M         ,GBR
1131066,Joe Bloomfield,M         ,GBR
1165508,Thomas Head,M         ,GBR
1250920,Eddie Jeans,M         ,GBR
1243021,Jazmine Moss,W         ,GBR
1181626,Hannah Cameron,W         ,GBR
1214696,Cara Anderson,W         ,GBR
1161370,Isobel Ives,W         ,GBR
1241902,Kirsty Fraser,W         ,GBR
1249370,Chloe Crossman,W         ,GBR
1288504,Olumide Isaac,M         ,GBR
1197720,Jack Lawrence,M         ,GBR
1202000,Makoye Kampengele,M         ,GBR
1194605,Alex Farquharson,M         ,GBR
1115760,Paul Ogun,M         ,GBR
1135100,Dan Bramble,M         ,GBR
1180518,Jack Roach,M         ,GBR
1192703,Reynold Banigo,M         ,GBR
1080144,David Martin,M         ,GBR
1168688,Tim Duckworth,M         ,GBR
1217534,Vicki Cronin,W         ,GBR
1155325,Sophie Merritt,W         ,GBR
1160828,Amelia Campbell,W         ,GBR
1127668,Sophie McKinna,W         ,GBR
1252511,Hannah Molyneaux,W         ,GBR
1220293,Emma Dakin,W         ,GBR
1253040,Isaac Brown,M         ,GBR
1252529,Terrell Craig,M         ,GBR
1155366,James West,M         ,GBR
1134839,Thomas Farrell,M         ,GBR
1282503,Suzanne London,W         ,GBR
1095520,Katarina Johnson-Thompson,W         ,GBR
1192478,Orla Brothers,W         ,GBR
1159142,Vera Chinedu,W         ,GBR
1138305,Rebecca Chapman,W         ,GBR
