AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1469674,134418,2988487,22/08/2023,800m,outdoor,111.62,seconds,9,Heats,WC,Budapest,1,NULL
1469199,134640,2994011,01/10/2023,Half Marathon,outdoor,4246,seconds,83,Finals,WC,Rīga,1,NULL
1464577,134418,2988039,19/08/2023,100m,outdoor,10.89,seconds,2,Single race,WC,Budapest,1,-0.8
1464577,134418,2988010,19/08/2023,100m,outdoor,11.09,seconds,8,Heats,WC,Budapest,1,0
1452109,142291,3148299,08/08/2024,Long Jump,outdoor,6.24,metres,12,Finals,OG,Paris,1,0.3
1452109,142291,3147791,06/08/2024,Long Jump,outdoor,6.65,metres,7,Quarter-finals,OG,Paris,1,0.1
1441632,134418,2988487,22/08/2023,800m,outdoor,113.63,seconds,8,Heats,WC,Budapest,1,NULL
1434371,142291,3147061,02/08/2024,1500m,outdoor,219.67,seconds,14,Heats,OG,Paris,1,NULL
1434371,142291,3147136,03/08/2024,1500m,outdoor,216.82,seconds,10,Quarter-finals,OG,Paris,1,NULL
1431912,134640,2994011,01/10/2023,Half Marathon,outdoor,4118,seconds,81,Finals,WC,Rīga,1,NULL
1416606,134640,2993946,01/10/2023,Half Marathon,outdoor,4399,seconds,38,Finals,WC,Rīga,1,NULL
1412593,134418,2988050,19/08/2023,20km Walk,outdoor,5214,seconds,43,Finals,WC,Budapest,1,NULL
1405434,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,500.52,seconds,8,Heats,OG,Paris,1,NULL
1393216,120524,2694832,13/08/2021,Decathlon,outdoor,7639,points,13,Finals,WC,Helsinki,0,NULL
1387617,134418,2988027,19/08/2023,Discus Throw,outdoor,63.37,metres,17,Quarter-finals,WC,Budapest,1,NULL
1384666,142291,3147060,02/08/2024,100m,outdoor,12.06,seconds,5,Single race,OG,Paris,1,0
1370522,142291,3147153,04/08/2024,3000m Steeplechase,outdoor,550.57,seconds,2,Heats,OG,Paris,1,NULL
1370522,142291,3147928,06/08/2024,3000m Steeplechase,outdoor,535.15,seconds,3,Finals,OG,Paris,1,NULL
1370522,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,559.55,seconds,1,Heats,WC,Budapest,1,NULL
1370522,134418,2989249,27/08/2023,3000m Steeplechase,outdoor,540.69,seconds,3,Finals,WC,Budapest,1,NULL
1370480,142291,3147906,06/08/2024,400m Hurdles,outdoor,49.25,seconds,5,Quarter-finals,OG,Paris,1,NULL
1370480,142291,3147269,05/08/2024,400m Hurdles,outdoor,50.21,seconds,6,Heats,OG,Paris,1,NULL
1370338,134640,2994011,01/10/2023,Half Marathon,outdoor,4117,seconds,80,Finals,WC,Rīga,1,NULL
1369126,126941,2830540,15/07/2022,3000m Steeplechase,outdoor,518.46,seconds,13,Heats,WC,Eugene OR,1,NULL
1486999,142291,3148725,10/08/2024,Marathon,outdoor,7892,seconds,30,Finals,OG,Paris,1,NULL
1470820,134640,2994011,01/10/2023,Half Marathon,outdoor,3852,seconds,59,Finals,WC,Rīga,1,NULL
1470728,134640,2994011,01/10/2023,Half Marathon,outdoor,3686,seconds,22,Finals,WC,Rīga,1,NULL
1448616,134418,2988039,19/08/2023,100m,outdoor,11.07,seconds,4,Single race,WC,Budapest,1,0.2
1437311,134640,2994011,01/10/2023,Half Marathon,outdoor,3758,seconds,37,Finals,WC,Rīga,1,NULL
1437260,134640,2994011,01/10/2023,Half Marathon,outdoor,3559,seconds,3,Finals,WC,Rīga,1,NULL
1433377,142291,3148108,07/08/2024,800m,outdoor,109.61,seconds,9,Heats,OG,Paris,1,NULL
1433377,142291,3148425,08/08/2024,800m,outdoor,110.11,seconds,9,Quarter-finals,OG,Paris,1,NULL
1433199,135095,3031273,02/03/2024,3000m,indoor,568.58,seconds,16,Finals,WC,Glasgow,1,NULL
1430871,134418,2988010,19/08/2023,100m,outdoor,10.91,seconds,8,Heats,WC,Budapest,1,-0.1
1430871,135095,3021806,01/03/2024,60m,indoor,7.04,seconds,6,Heats,WC,Glasgow,1,NULL
1430871,134418,2988039,19/08/2023,100m,outdoor,10.84,seconds,2,Single race,WC,Budapest,1,-0.3
1430871,142291,3147135,03/08/2024,100m,outdoor,10.85,seconds,5,Single race,OG,Paris,1,-0.4
1430871,126941,2831654,18/07/2022,200m,outdoor,22.04,seconds,7,Heats,WC,Eugene OR,1,0
1427495,142291,3146999,02/08/2024,Discus Throw,outdoor,59.1,metres,28,Quarter-finals,OG,Paris,1,NULL
1418486,142291,3147791,06/08/2024,Long Jump,outdoor,6.58,metres,13,Quarter-finals,OG,Paris,1,0
1414992,123073,2753509,18/03/2022,1500m,indoor,270.9,seconds,7,Heats,WC,Beograd,1,NULL
1411467,142291,3148425,08/08/2024,800m,outdoor,105.52,seconds,1,Quarter-finals,OG,Paris,1,NULL
1411467,142291,3148496,09/08/2024,800m,outdoor,104.95,seconds,7,Semi-finals,OG,Paris,1,NULL
1411467,142291,3148108,07/08/2024,800m,outdoor,106.46,seconds,7,Heats,OG,Paris,1,NULL
1409595,142291,3147135,03/08/2024,100m,outdoor,10.69,seconds,5,Single race,OG,Paris,1,0.3
1408691,142291,3146911,01/08/2024,20km Walk,outdoor,5028,seconds,37,Finals,OG,Paris,1,NULL
1408691,134418,2988050,19/08/2023,20km Walk,outdoor,5042,seconds,35,Finals,WC,Budapest,1,NULL
1400768,142291,3148209,07/08/2024,400m,outdoor,44.73,seconds,7,Finals,OG,Paris,1,NULL
1470754,134640,2994011,01/10/2023,Half Marathon,outdoor,3768,seconds,39,Finals,WC,Rīga,1,NULL
1469677,142291,3148108,07/08/2024,800m,outdoor,114.83,seconds,9,Heats,OG,Paris,1,NULL
1469677,142291,3148425,08/08/2024,800m,outdoor,114.83,seconds,9,Quarter-finals,OG,Paris,1,NULL
1469677,134418,2988487,22/08/2023,800m,outdoor,115.45,seconds,9,Heats,WC,Budapest,1,NULL
1459422,142291,3147135,03/08/2024,100m,outdoor,10.76,seconds,5,Single race,OG,Paris,1,0.6
1453858,142291,3147135,03/08/2024,100m,outdoor,10.31,seconds,2,Single race,OG,Paris,1,0.2
1453858,142291,3147124,03/08/2024,100m,outdoor,10.4,seconds,7,Heats,OG,Paris,1,0
1453858,134418,2988613,23/08/2023,200m,outdoor,21.05,seconds,7,Heats,WC,Budapest,1,-1.4
1452271,134418,2988039,19/08/2023,100m,outdoor,11.03,seconds,4,Single race,WC,Budapest,1,0
1429882,142291,3146911,01/08/2024,20km Walk,outdoor,4771,seconds,6,Finals,OG,Paris,1,NULL
1427971,142291,3147124,03/08/2024,100m,outdoor,10.06,seconds,3,Heats,OG,Paris,1,-0.3
1427971,142291,3147402,04/08/2024,100m,outdoor,10.05,seconds,7,Semi-finals,OG,Paris,1,0.5
1418969,142291,3147525,05/08/2024,400m,outdoor,52.51,seconds,7,Heats,OG,Paris,1,NULL
1418969,142291,3147905,06/08/2024,400m,outdoor,52.59,seconds,6,Quarter-finals,OG,Paris,1,NULL
1404549,142291,3147135,03/08/2024,100m,outdoor,10.55,seconds,5,Single race,OG,Paris,1,0.2
1403337,142291,3147135,03/08/2024,100m,outdoor,10.64,seconds,4,Single race,OG,Paris,1,0.6
1403337,112541,2658096,31/07/2021,100m,outdoor,11.04,seconds,7,Single race,OG,Tokyo,1,-0.2
1393217,120524,2694832,13/08/2021,Decathlon,outdoor,8478,points,3,Finals,WC,Helsinki,0,NULL
1393214,120524,2694832,13/08/2021,Decathlon,outdoor,8201,points,6,Finals,WC,Helsinki,0,NULL
1393209,120524,2694832,13/08/2021,Decathlon,outdoor,7982,points,10,Finals,WC,Helsinki,0,NULL
1393208,120524,2694832,13/08/2021,Decathlon,outdoor,7827,points,11,Finals,WC,Helsinki,0,NULL
1393207,120524,2694832,13/08/2021,Decathlon,outdoor,8149,points,8,Finals,WC,Helsinki,0,NULL
1393206,120524,2694832,13/08/2021,Decathlon,outdoor,8433,points,4,Finals,WC,Helsinki,0,NULL
1388795,142291,3147157,04/08/2024,1500m,outdoor,215.32,seconds,10,Semi-finals,OG,Paris,1,NULL
1482591,142291,3148214,07/08/2024,5000m,outdoor,831.82,seconds,2,Heats,OG,Paris,1,NULL
1482591,135095,3010888,03/03/2024,1500m,indoor,220,seconds,9,Finals,WC,Glasgow,1,NULL
1482591,135095,3022321,01/03/2024,1500m,indoor,235.81,seconds,6,Heats,WC,Glasgow,1,NULL
1482591,142291,3148693,10/08/2024,5000m,outdoor,795.99,seconds,6,Finals,OG,Paris,1,NULL
1465754,142291,3146986,02/08/2024,800m,outdoor,128.2,seconds,9,Heats,OG,Paris,1,NULL
1465754,142291,3147087,03/08/2024,800m,outdoor,131.33,seconds,7,Quarter-finals,OG,Paris,1,NULL
1464982,142291,3147061,02/08/2024,1500m,outdoor,216.31,seconds,2,Heats,OG,Paris,1,NULL
1464982,142291,3147157,04/08/2024,1500m,outdoor,212.57,seconds,4,Semi-finals,OG,Paris,1,NULL
1464982,142291,3147955,06/08/2024,1500m,outdoor,215.59,seconds,12,Finals,OG,Paris,1,NULL
1456837,142291,3147060,02/08/2024,100m,outdoor,11.99,seconds,4,Single race,OG,Paris,1,0.2
1456837,142291,3146954,02/08/2024,100m,outdoor,12.15,seconds,9,Heats,OG,Paris,1,-0.8
1456110,135095,3021806,01/03/2024,60m,indoor,6.91,seconds,5,Heats,WC,Glasgow,1,NULL
1440807,135095,3024185,01/03/2024,800m,indoor,122.69,seconds,3,Heats,WC,Glasgow,1,NULL
1434175,135095,3031041,02/03/2024,60m,indoor,7.59,seconds,7,Heats,WC,Glasgow,1,NULL
1432026,142291,3148425,08/08/2024,800m,outdoor,106.37,seconds,6,Quarter-finals,OG,Paris,1,NULL
1432026,142291,3148108,07/08/2024,800m,outdoor,105.84,seconds,5,Heats,OG,Paris,1,NULL
1411552,134640,2993946,01/10/2023,Half Marathon,outdoor,4294,seconds,28,Finals,WC,Rīga,1,NULL
1410250,142291,3147124,03/08/2024,100m,outdoor,10.24,seconds,6,Heats,OG,Paris,1,-0.3
1410250,142291,3147135,03/08/2024,100m,outdoor,10.31,seconds,1,Single race,OG,Paris,1,-0.3
1405772,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,609.41,seconds,10,Heats,WC,Budapest,1,NULL
1404744,142291,3147269,05/08/2024,400m Hurdles,outdoor,48.67,seconds,4,Heats,OG,Paris,1,NULL
1404744,142291,3147906,06/08/2024,400m Hurdles,outdoor,53.68,seconds,5,Quarter-finals,OG,Paris,1,NULL
1401610,142291,3147269,05/08/2024,400m Hurdles,outdoor,48.9,seconds,2,Heats,OG,Paris,1,NULL
1401610,142291,3148213,07/08/2024,400m Hurdles,outdoor,49.08,seconds,4,Semi-finals,OG,Paris,1,NULL
1474685,142291,3147135,03/08/2024,100m,outdoor,10.73,seconds,7,Single race,OG,Paris,1,0.3
1474685,135095,3021806,01/03/2024,60m,indoor,7.02,seconds,6,Heats,WC,Glasgow,1,NULL
1469076,134418,2988813,26/08/2023,Marathon,outdoor,9469,seconds,42,Finals,WC,Budapest,1,NULL
1463537,134640,2993946,01/10/2023,Half Marathon,outdoor,4671,seconds,56,Finals,WC,Rīga,1,NULL
1441602,135095,3006573,02/03/2024,60m Hurdles,indoor,8.06,seconds,7,Heats,WC,Glasgow,1,NULL
1441177,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,516.67,seconds,10,Heats,OG,Paris,1,NULL
1430072,134418,2988002,19/08/2023,3000m Steeplechase,outdoor,502.95,seconds,9,Heats,WC,Budapest,1,NULL
1423411,135095,3006983,01/03/2024,1500m,indoor,251.54,seconds,2,Heats,WC,Glasgow,1,NULL
1423411,135095,3007966,03/03/2024,1500m,indoor,246.27,seconds,9,Finals,WC,Glasgow,1,NULL
1423411,142291,3148387,08/08/2024,1500m,outdoor,243.11,seconds,10,Semi-finals,OG,Paris,1,NULL
1423411,134418,2988014,19/08/2023,1500m,outdoor,241.12,seconds,3,Heats,WC,Budapest,1,NULL
1423411,134418,2988100,20/08/2023,1500m,outdoor,242.46,seconds,2,Semi-finals,WC,Budapest,1,NULL
1423411,134418,2988524,22/08/2023,1500m,outdoor,241.51,seconds,9,Finals,WC,Budapest,1,NULL
1423411,142291,3147917,06/08/2024,1500m,outdoor,247.15,seconds,11,Heats,OG,Paris,1,NULL
1423411,142291,3148032,07/08/2024,1500m,outdoor,241.47,seconds,1,Quarter-finals,OG,Paris,1,NULL
1420873,142291,3146911,01/08/2024,20km Walk,outdoor,4954,seconds,29,Finals,OG,Paris,1,NULL
1405379,134640,2993946,01/10/2023,Half Marathon,outdoor,4614,seconds,52,Finals,WC,Rīga,1,NULL
1395704,134640,2993946,01/10/2023,Half Marathon,outdoor,4227,seconds,17,Finals,WC,Rīga,1,NULL
1393221,120524,2694832,13/08/2021,Decathlon,outdoor,8212,points,5,Finals,WC,Helsinki,0,NULL
1393213,120524,2694832,13/08/2021,Decathlon,outdoor,8096,points,9,Finals,WC,Helsinki,0,NULL
1393210,120524,2694832,13/08/2021,Decathlon,outdoor,8561,points,2,Finals,WC,Helsinki,0,NULL
1371478,142291,3146986,02/08/2024,800m,outdoor,127.76,seconds,8,Heats,OG,Paris,1,NULL
1371478,142291,3147087,03/08/2024,800m,outdoor,126.66,seconds,7,Quarter-finals,OG,Paris,1,NULL
1369757,142291,3148214,07/08/2024,5000m,outdoor,832.53,seconds,7,Heats,OG,Paris,1,NULL
1369126,134418,2988002,19/08/2023,3000m Steeplechase,outdoor,518.14,seconds,10,Heats,WC,Budapest,1,NULL
1368456,134418,2988795,24/08/2023,5000m,outdoor,851.99,seconds,21,Heats,WC,Budapest,1,NULL
1367176,135095,3031041,02/03/2024,60m,indoor,7.45,seconds,6,Heats,WC,Glasgow,1,NULL
1367176,142291,3146954,02/08/2024,100m,outdoor,11.54,seconds,7,Heats,OG,Paris,1,1.2
1367176,142291,3147060,02/08/2024,100m,outdoor,11.62,seconds,2,Single race,OG,Paris,1,0
1366619,142291,3147778,06/08/2024,200m,outdoor,20.49,seconds,1,Quarter-finals,OG,Paris,1,0.3
1366619,142291,3147517,05/08/2024,200m,outdoor,20.65,seconds,7,Heats,OG,Paris,1,0.2
1366619,142291,3148199,07/08/2024,200m,outdoor,20.93,seconds,8,Semi-finals,OG,Paris,1,-0.2
1365973,142291,3147162,04/08/2024,Hammer Throw,outdoor,70.23,metres,14,Quarter-finals,OG,Paris,1,NULL
1364597,142291,3146913,01/08/2024,20km Walk,outdoor,5519,seconds,26,Finals,OG,Paris,1,NULL
1364597,134418,2988082,20/08/2023,20km Walk,outdoor,5480,seconds,18,Finals,WC,Budapest,1,NULL
1360584,135095,3031273,02/03/2024,3000m,indoor,518.96,seconds,9,Finals,WC,Glasgow,1,NULL
1356149,142291,3147061,02/08/2024,1500m,outdoor,215.21,seconds,1,Heats,OG,Paris,1,NULL
1356149,142291,3147157,04/08/2024,1500m,outdoor,220.27,seconds,12,Semi-finals,OG,Paris,1,NULL
1356149,126941,2832016,20/07/2022,800m,outdoor,109.36,seconds,4,Heats,WC,Eugene OR,1,NULL
1354570,134418,2988050,19/08/2023,20km Walk,outdoor,5267,seconds,46,Finals,WC,Budapest,1,NULL
1352161,142291,3147517,05/08/2024,200m,outdoor,20.35,seconds,2,Heats,OG,Paris,1,-0.1
1352161,142291,3148199,07/08/2024,200m,outdoor,20.61,seconds,5,Semi-finals,OG,Paris,1,-0.1
1352161,142291,3147124,03/08/2024,100m,outdoor,10.24,seconds,5,Heats,OG,Paris,1,-1.1
1352144,126941,2832181,23/07/2022,100m Hurdles,outdoor,12.94,seconds,3,Heats,WC,Eugene OR,1,0.5
1352144,142291,3148568,09/08/2024,100m Hurdles,outdoor,13.01,seconds,6,Semi-finals,OG,Paris,1,-0.7
1352144,126941,2832445,24/07/2022,100m Hurdles,outdoor,12.93,seconds,5,Semi-finals,WC,Eugene OR,1,-0.1
1352144,142291,3148405,08/08/2024,100m Hurdles,outdoor,12.79,seconds,1,Quarter-finals,OG,Paris,1,0.1
1352144,142291,3148216,07/08/2024,100m Hurdles,outdoor,12.91,seconds,4,Heats,OG,Paris,1,0
1400768,142291,3147765,06/08/2024,400m,outdoor,44.41,seconds,3,Semi-finals,OG,Paris,1,NULL
1400768,142291,3147524,04/08/2024,400m,outdoor,44.5,seconds,2,Heats,OG,Paris,1,NULL
1398080,135095,3029961,01/03/2024,400m,indoor,48,seconds,4,Heats,WC,Glasgow,1,NULL
1395697,142291,3147135,03/08/2024,100m,outdoor,10.54,seconds,3,Single race,OG,Paris,1,-0.4
1395697,142291,3147124,03/08/2024,100m,outdoor,10.53,seconds,7,Heats,OG,Paris,1,0.2
1370830,126941,2830562,16/07/2022,3000m Steeplechase,outdoor,567.5,seconds,6,Heats,WC,Eugene OR,1,NULL
1370830,142291,3147153,04/08/2024,3000m Steeplechase,outdoor,575.56,seconds,12,Heats,OG,Paris,1,NULL
1370830,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,556.41,seconds,1,Heats,WC,Budapest,1,NULL
1370830,134418,2989249,27/08/2023,3000m Steeplechase,outdoor,554.72,seconds,9,Finals,WC,Budapest,1,NULL
1370494,134418,2988795,24/08/2023,5000m,outdoor,817.53,seconds,10,Heats,WC,Budapest,1,NULL
1370494,142291,3148214,07/08/2024,5000m,outdoor,851.29,seconds,10,Heats,OG,Paris,1,NULL
1370494,126941,2830855,17/07/2022,10000m,outdoor,1704.07,seconds,18,Finals,WC,Eugene OR,1,NULL
1369618,112541,2659024,03/08/2021,200m,outdoor,21.66,seconds,7,Heats,OG,Tokyo,1,-0.3
1368600,123073,2753622,18/03/2022,400m,indoor,49.82,seconds,5,Heats,WC,Beograd,1,NULL
1367762,142291,3147719,05/08/2024,5000m,outdoor,875.43,seconds,6,Finals,OG,Paris,1,NULL
1367762,142291,3147080,02/08/2024,5000m,outdoor,900.82,seconds,2,Heats,OG,Paris,1,NULL
1367762,134418,2988590,23/08/2023,5000m,outdoor,903.07,seconds,6,Heats,WC,Budapest,1,NULL
1367762,134418,2988880,26/08/2023,5000m,outdoor,898.23,seconds,6,Finals,WC,Budapest,1,NULL
1367103,142291,3148099,07/08/2024,400m,outdoor,51.42,seconds,8,Semi-finals,OG,Paris,1,NULL
1367103,142291,3147525,05/08/2024,400m,outdoor,52.2,seconds,6,Heats,OG,Paris,1,NULL
1367103,142291,3147905,06/08/2024,400m,outdoor,50.81,seconds,3,Quarter-finals,OG,Paris,1,NULL
1366183,123073,2753742,19/03/2022,60m,indoor,6.83,seconds,7,Heats,WC,Beograd,1,NULL
1366183,142291,3147135,03/08/2024,100m,outdoor,10.6,seconds,3,Single race,OG,Paris,1,0.1
1366183,134418,2988010,19/08/2023,100m,outdoor,10.99,seconds,7,Heats,WC,Budapest,1,0
1388795,142291,3147061,02/08/2024,1500m,outdoor,217.12,seconds,4,Heats,OG,Paris,1,NULL
1388795,134418,2988001,19/08/2023,1500m,outdoor,214.24,seconds,3,Heats,WC,Budapest,1,NULL
1388795,134418,2988610,23/08/2023,1500m,outdoor,210.78,seconds,8,Finals,WC,Budapest,1,NULL
1388795,134418,2988099,20/08/2023,1500m,outdoor,215.53,seconds,6,Semi-finals,WC,Budapest,1,NULL
1371471,142291,3147124,03/08/2024,100m,outdoor,10.29,seconds,7,Heats,OG,Paris,1,0.3
1370946,142291,3147517,05/08/2024,200m,outdoor,20.07,seconds,2,Heats,OG,Paris,1,0.2
1370946,142291,3148199,07/08/2024,200m,outdoor,20.16,seconds,3,Semi-finals,OG,Paris,1,-0.6
1370946,142291,3148366,08/08/2024,200m,outdoor,20.1,seconds,6,Finals,OG,Paris,1,0.4
1370946,134418,2988613,23/08/2023,200m,outdoor,20.64,seconds,4,Heats,WC,Budapest,1,-0.1
1370663,134418,2988014,19/08/2023,1500m,outdoor,244.51,seconds,7,Heats,WC,Budapest,1,NULL
1370497,134418,2988011,19/08/2023,Hammer Throw,outdoor,71.72,metres,26,Quarter-finals,WC,Budapest,1,NULL
1370328,142291,3147955,06/08/2024,1500m,outdoor,210.75,seconds,9,Finals,OG,Paris,1,NULL
1370328,142291,3147157,04/08/2024,1500m,outdoor,212.73,seconds,5,Semi-finals,OG,Paris,1,NULL
1370328,142291,3147061,02/08/2024,1500m,outdoor,216.77,seconds,1,Heats,OG,Paris,1,NULL
1368174,142291,3147524,04/08/2024,400m,outdoor,44.99,seconds,3,Heats,OG,Paris,1,NULL
1368174,142291,3147765,06/08/2024,400m,outdoor,45.01,seconds,5,Semi-finals,OG,Paris,1,NULL
1364982,142291,3147514,05/08/2024,Discus Throw,outdoor,61.81,metres,21,Quarter-finals,OG,Paris,1,NULL
1364287,134418,2988001,19/08/2023,1500m,outdoor,220.72,seconds,12,Heats,WC,Budapest,1,NULL
1361620,142291,3148496,09/08/2024,800m,outdoor,105.08,seconds,1,Semi-finals,OG,Paris,1,NULL
1361620,142291,3148726,10/08/2024,800m,outdoor,101.5,seconds,3,Finals,OG,Paris,1,NULL
1361620,134418,2988487,22/08/2023,800m,outdoor,107.87,seconds,2,Heats,WC,Budapest,1,NULL
1361620,134418,2988794,24/08/2023,800m,outdoor,104.49,seconds,2,Semi-finals,WC,Budapest,1,NULL
1361620,126941,2832016,20/07/2022,800m,outdoor,106.39,seconds,1,Heats,WC,Eugene OR,1,NULL
1361620,126941,2832085,21/07/2022,800m,outdoor,105.44,seconds,1,Semi-finals,WC,Eugene OR,1,NULL
1393219,120524,2694832,13/08/2021,Decathlon,outdoor,8167,points,7,Finals,WC,Helsinki,0,NULL
1393211,120524,2694832,13/08/2021,Decathlon,outdoor,7329,points,16,Finals,WC,Helsinki,0,NULL
1393205,120524,2694832,13/08/2021,Decathlon,outdoor,7527,points,14,Finals,WC,Helsinki,0,NULL
1387572,142291,3147161,04/08/2024,Long Jump,outdoor,6.97,metres,30,Quarter-finals,OG,Paris,1,-1
1386594,134418,2988487,22/08/2023,800m,outdoor,107.98,seconds,8,Heats,WC,Budapest,1,NULL
1384656,134418,2988039,19/08/2023,100m,outdoor,11.04,seconds,3,Single race,WC,Budapest,1,0.2
1371354,112541,2658118,31/07/2021,100m,outdoor,10.64,seconds,8,Heats,OG,Tokyo,1,0.6
1371354,112541,2658096,31/07/2021,100m,outdoor,10.59,seconds,3,Single race,OG,Tokyo,1,0
1371292,142291,3147124,03/08/2024,100m,outdoor,10.13,seconds,3,Heats,OG,Paris,1,0
1371292,142291,3147402,04/08/2024,100m,outdoor,10.14,seconds,9,Semi-finals,OG,Paris,1,0.5
1370124,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,504.95,seconds,3,Heats,OG,Paris,1,NULL
1370124,134418,2988002,19/08/2023,3000m Steeplechase,outdoor,500.29,seconds,3,Heats,WC,Budapest,1,NULL
1370124,142291,3148208,07/08/2024,3000m Steeplechase,outdoor,489.26,seconds,7,Finals,OG,Paris,1,NULL
1370124,134418,2988541,22/08/2023,3000m Steeplechase,outdoor,494.37,seconds,7,Finals,WC,Budapest,1,NULL
1366288,135095,3006573,02/03/2024,60m Hurdles,indoor,7.88,seconds,6,Heats,WC,Glasgow,1,NULL
1356154,142291,3148214,07/08/2024,5000m,outdoor,832.62,seconds,8,Heats,OG,Paris,1,NULL
1356154,142291,3148693,10/08/2024,5000m,outdoor,802.33,seconds,14,Finals,OG,Paris,1,NULL
1356095,142291,3148199,07/08/2024,200m,outdoor,20.31,seconds,3,Semi-finals,OG,Paris,1,-0.2
1356095,142291,3148366,08/08/2024,200m,outdoor,20.53,seconds,8,Finals,OG,Paris,1,0.4
1356095,142291,3147517,05/08/2024,200m,outdoor,20.27,seconds,2,Heats,OG,Paris,1,-0.1
1353752,134418,2988573,23/08/2023,Triple Jump,outdoor,13.39,metres,31,Quarter-finals,WC,Budapest,1,0.6
1351797,134418,2988498,22/08/2023,400m,outdoor,46.39,seconds,8,Semi-finals,WC,Budapest,1,NULL
1351797,134418,2988101,20/08/2023,400m,outdoor,44.8,seconds,4,Heats,WC,Budapest,1,NULL
1351797,142291,3147524,04/08/2024,400m,outdoor,44.45,seconds,3,Heats,OG,Paris,1,NULL
1369757,142291,3148693,10/08/2024,5000m,outdoor,811.5,seconds,19,Finals,OG,Paris,1,NULL
1365318,134418,2988099,20/08/2023,1500m,outdoor,212.74,seconds,3,Semi-finals,WC,Budapest,1,NULL
1365318,134418,2988001,19/08/2023,1500m,outdoor,214.25,seconds,1,Heats,WC,Budapest,1,NULL
1365318,134418,2988610,23/08/2023,1500m,outdoor,211.25,seconds,10,Finals,WC,Budapest,1,NULL
1365318,142291,3147955,06/08/2024,1500m,outdoor,209.54,seconds,6,Finals,OG,Paris,1,NULL
1365318,142291,3147157,04/08/2024,1500m,outdoor,212.22,seconds,4,Semi-finals,OG,Paris,1,NULL
1365318,142291,3147061,02/08/2024,1500m,outdoor,215.38,seconds,4,Heats,OG,Paris,1,NULL
1361702,126941,2831297,17/07/2022,400m,outdoor,48.4,seconds,7,Heats,WC,Eugene OR,1,NULL
1353379,112541,2659081,04/08/2021,200m,outdoor,24.56,seconds,NULL,Heats,OG,Tokyo,1,0.3
1353379,112541,2659099,04/08/2021,Shot Put,outdoor,13.55,metres,NULL,Heats,OG,Tokyo,1,NULL
1353379,112541,2659129,05/08/2021,Long Jump,outdoor,6.12,metres,NULL,Heats,OG,Tokyo,1,0.6
1353379,112541,2659227,05/08/2021,800m,outdoor,130.35,seconds,NULL,Heats,OG,Tokyo,1,NULL
1353379,112541,2659230,05/08/2021,Javelin Throw,outdoor,42.6,metres,NULL,Heats,OG,Tokyo,1,NULL
1353379,112541,2688364,05/08/2021,Heptathlon,outdoor,6318,points,10,Finals,OG,Tokyo,1,NULL
1353379,112541,2658863,04/08/2021,100m Hurdles,outdoor,13.27,seconds,NULL,Heats,OG,Tokyo,1,-0.8
1353379,112541,2658990,04/08/2021,High Jump,outdoor,1.8,metres,NULL,Heats,OG,Tokyo,1,NULL
1353326,112579,2659360,06/08/2021,50km Walk,outdoor,14747,seconds,27,Finals,OG,Sapporo,1,NULL
1352978,142291,3148213,07/08/2024,400m Hurdles,outdoor,48.34,seconds,2,Semi-finals,OG,Paris,1,NULL
1352978,142291,3147269,05/08/2024,400m Hurdles,outdoor,48.17,seconds,1,Heats,OG,Paris,1,NULL
1352978,134418,2988551,21/08/2023,400m Hurdles,outdoor,47.34,seconds,2,Semi-finals,WC,Budapest,1,NULL
1352978,134418,2988585,23/08/2023,400m Hurdles,outdoor,48.07,seconds,4,Finals,WC,Budapest,1,NULL
1352978,134418,2988080,20/08/2023,400m Hurdles,outdoor,48.39,seconds,3,Heats,WC,Budapest,1,NULL
1352342,142291,3147514,05/08/2024,Discus Throw,outdoor,61.35,metres,23,Quarter-finals,OG,Paris,1,NULL
1351990,142291,3148215,07/08/2024,Triple Jump,outdoor,16.99,metres,6,Quarter-finals,OG,Paris,1,0.5
1352144,134418,2988540,22/08/2023,100m Hurdles,outdoor,12.71,seconds,3,Heats,WC,Budapest,1,0.1
1352144,134418,2988577,23/08/2023,100m Hurdles,outdoor,12.89,seconds,6,Semi-finals,WC,Budapest,1,-0.4
1351612,134418,2988498,22/08/2023,400m,outdoor,44.7,seconds,3,Semi-finals,WC,Budapest,1,NULL
1351612,134418,2988782,24/08/2023,400m,outdoor,45.08,seconds,6,Finals,WC,Budapest,1,NULL
1351612,134418,2988101,20/08/2023,400m,outdoor,44.39,seconds,1,Heats,WC,Budapest,1,NULL
1351612,142291,3147524,04/08/2024,400m,outdoor,45.46,seconds,3,Heats,OG,Paris,1,NULL
1351612,142291,3147765,06/08/2024,400m,outdoor,45.6,seconds,7,Semi-finals,OG,Paris,1,NULL
1351612,123073,2753622,18/03/2022,400m,indoor,46.95,seconds,4,Heats,WC,Beograd,1,NULL
