AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1244534,126941,2830549,16/07/2022,High Jump,outdoor,1.93,metres,6,Quarter-finals,WC,Eugene OR,1,NULL
1244534,126941,2831832,19/07/2022,High Jump,outdoor,1.96,metres,7,Finals,WC,Eugene OR,1,NULL
1244508,112541,2658986,03/08/2021,110m Hurdles,outdoor,13.54,seconds,3,Heats,OG,Tokyo,1,-0.1
1244508,112541,2658934,04/08/2021,110m Hurdles,outdoor,13.39,seconds,3,Semi-finals,OG,Tokyo,1,0.1
1244508,135095,3006573,02/03/2024,60m Hurdles,indoor,7.73,seconds,6,Heats,WC,Glasgow,1,NULL
1244216,135095,3010473,02/03/2024,Long Jump,indoor,8.03,metres,NULL,Heats,WC,Glasgow,1,NULL
1244216,135095,3023163,03/03/2024,60m Hurdles,indoor,7.62,seconds,NULL,Heats,WC,Glasgow,1,NULL
1244216,135095,3029988,03/03/2024,Pole Vault,indoor,5.2,metres,NULL,Heats,WC,Glasgow,1,NULL
1244216,135095,3032533,02/03/2024,60m,indoor,6.73,seconds,NULL,Heats,WC,Glasgow,1,NULL
1244216,134418,2988745,24/08/2023,Long Jump,outdoor,7.87,metres,9,Finals,WC,Budapest,1,0.1
1244216,134418,2988597,23/08/2023,Long Jump,outdoor,8.13,metres,6,Quarter-finals,WC,Budapest,1,-0.3
1244216,126941,2830602,16/07/2022,Long Jump,outdoor,8.16,metres,3,Finals,WC,Eugene OR,1,0.5
1244216,126941,2830546,15/07/2022,Long Jump,outdoor,8.09,metres,4,Quarter-finals,WC,Eugene OR,1,-0.6
1244216,123073,2753560,18/03/2022,Long Jump,indoor,8.04,metres,NULL,Heats,WC,Beograd,1,NULL
1244216,123073,2753591,18/03/2022,High Jump,indoor,2.05,metres,NULL,Heats,WC,Beograd,1,NULL
1244216,123073,2753820,19/03/2022,60m Hurdles,indoor,7.75,seconds,NULL,Heats,WC,Beograd,1,NULL
1244216,123073,2753671,18/03/2022,60m,indoor,6.72,seconds,NULL,Heats,WC,Beograd,1,NULL
1225520,142291,3147113,03/08/2024,100m,outdoor,10.72,seconds,1,Finals,OG,Paris,1,-0.1
1225520,142291,3147114,03/08/2024,100m,outdoor,10.84,seconds,1,Semi-finals,OG,Paris,1,-0.1
1225520,135095,3006421,02/03/2024,60m,indoor,7.03,seconds,1,Semi-finals,WC,Glasgow,1,NULL
1225520,142291,3147920,06/08/2024,200m,outdoor,22.08,seconds,2,Finals,OG,Paris,1,-0.6
1225520,142291,3147268,05/08/2024,200m,outdoor,21.98,seconds,1,Semi-finals,OG,Paris,1,0
1225520,142291,3147159,04/08/2024,200m,outdoor,22.41,seconds,1,Heats,OG,Paris,1,1.4
1225520,134418,2988578,23/08/2023,200m,outdoor,22.31,seconds,1,Heats,WC,Budapest,1,-0.4
1225520,134418,2988306,21/08/2023,100m,outdoor,10.93,seconds,5,Finals,WC,Budapest,1,-0.2
1225520,134418,2988736,24/08/2023,200m,outdoor,22.17,seconds,1,Semi-finals,WC,Budapest,1,-0.2
1225520,134418,2988784,25/08/2023,200m,outdoor,22.05,seconds,4,Finals,WC,Budapest,1,0.1
1225520,135095,3031041,02/03/2024,60m,indoor,7.02,seconds,1,Heats,WC,Glasgow,1,NULL
1225520,135095,3030922,02/03/2024,60m,indoor,6.98,seconds,1,Finals,WC,Glasgow,1,NULL
1225520,134418,2988146,21/08/2023,100m,outdoor,10.92,seconds,1,Semi-finals,WC,Budapest,1,-0.1
1225520,134418,2988098,20/08/2023,100m,outdoor,10.99,seconds,1,Heats,WC,Budapest,1,0
1225370,134418,2988082,20/08/2023,20km Walk,outdoor,5689,seconds,29,Finals,WC,Budapest,1,NULL
1225370,81430,2420960,30/09/2019,20km Walk,outdoor,5834,seconds,11,Finals,WC,Doha,1,NULL
1225370,142291,3146913,01/08/2024,20km Walk,outdoor,5603,seconds,28,Finals,OG,Paris,1,NULL
1225370,126941,2830534,15/07/2022,20km Walk,outdoor,5532,seconds,15,Finals,WC,Eugene OR,1,NULL
1225185,126941,2830549,16/07/2022,High Jump,outdoor,1.9,metres,10,Quarter-finals,WC,Eugene OR,1,NULL
1225185,142291,3146992,02/08/2024,High Jump,outdoor,1.83,metres,26,Quarter-finals,OG,Paris,1,NULL
1225185,126941,2831832,19/07/2022,High Jump,outdoor,1.89,metres,12,Finals,WC,Eugene OR,1,NULL
1225185,135095,3014412,01/03/2024,High Jump,indoor,1.95,metres,3,Finals,WC,Glasgow,1,NULL
1225185,134418,2988803,25/08/2023,High Jump,outdoor,1.89,metres,9,Quarter-finals,WC,Budapest,1,NULL
1225185,134418,2989035,27/08/2023,High Jump,outdoor,1.9,metres,9,Finals,WC,Budapest,1,NULL
1245570,142291,3147114,03/08/2024,100m,outdoor,11.26,seconds,7,Semi-finals,OG,Paris,1,0.1
1245570,142291,3146954,02/08/2024,100m,outdoor,11.1,seconds,3,Heats,OG,Paris,1,1.5
1245510,112579,2700858,08/08/2021,Marathon,outdoor,8397,seconds,48,Finals,OG,Sapporo,1,NULL
1245510,112541,2659454,08/08/2021,Marathon,outdoor,8397,seconds,48,Finals,OG,Tokyo,1,NULL
1245186,123073,2753742,19/03/2022,60m,indoor,6.55,seconds,3,Heats,WC,Beograd,1,NULL
1245186,123073,2753789,19/03/2022,60m,indoor,6.58,seconds,4,Finals,WC,Beograd,1,NULL
1245186,123073,2753790,19/03/2022,60m,indoor,6.59,seconds,3,Semi-finals,WC,Beograd,1,NULL
1242863,142291,3147159,04/08/2024,200m,outdoor,23.33,seconds,5,Heats,OG,Paris,1,0
1242863,142291,3147259,05/08/2024,200m,outdoor,23.51,seconds,5,Quarter-finals,OG,Paris,1,-0.9
1242362,142291,3147160,04/08/2024,400m Hurdles,outdoor,55.62,seconds,5,Heats,OG,Paris,1,NULL
1242362,142291,3147536,05/08/2024,400m Hurdles,outdoor,55.48,seconds,6,Quarter-finals,OG,Paris,1,NULL
1242095,142291,3146954,02/08/2024,100m,outdoor,11.88,seconds,9,Heats,OG,Paris,1,1.5
1242095,142291,3147060,02/08/2024,100m,outdoor,11.99,seconds,3,Single race,OG,Paris,1,0
1241749,135095,3029961,01/03/2024,400m,indoor,48.05,seconds,5,Heats,WC,Glasgow,1,NULL
1241441,134418,2988073,20/08/2023,100m,outdoor,9.9,seconds,1,Semi-finals,WC,Budapest,1,-0.3
