AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompVenue,AthleteName,AthleteGender,Nationality,Flag,EventType,RankValue
1266164,142291,3147955,2024-08-06,1500m,outdoor,207.8,seconds,3.0,finals,paris,yared nuguse,M         ,usa,global,time_based,207.8
1111484,142291,3148692,2024-08-10,1500m,outdoor,232.61,seconds,3.0,finals,paris,georgia bell,W         ,gbr,gbr,time_based,232.61
1146628,142291,3148692,2024-08-10,1500m,outdoor,233.37,seconds,5.0,finals,paris,laura muir,W         ,gbr,gbr,time_based,233.37
1146628,134941,3137242,2024-07-07,1500m,outdoor,233.79,seconds,3.0,finals,paris,laura muir,W         ,gbr,gbr,time_based,233.79
1129444,142291,3148692,2024-08-10,1500m,outdoor,231.29,seconds,1.0,finals,paris,faith kipyegon,W         ,ken,global,time_based,231.29
1137484,81430,2445415,2019-10-05,1500m,outdoor,231.95,seconds,1.0,finals,doha,sifan hassan,W         ,ned,global,time_based,231.95
1146228,142291,3148692,2024-08-10,1500m,outdoor,232.56,seconds,2.0,finals,paris,jessica hull,W         ,aus,global,time_based,232.56
1145889,128270,2981016,2023-07-23,200m,outdoor,19.73,seconds,3.0,finals,london,zharnel hughes,M         ,gbr,gbr,time_based,19.73
1145889,134079,2976525,2023-07-09,200m,outdoor,19.77,seconds,1.0,finals,manchester,zharnel hughes,M         ,gbr,gbr,time_based,19.77
1145889,134497,2990768,2023-09-08,200m,outdoor,19.82,seconds,2.0,finals,bruxelles,zharnel hughes,M         ,gbr,gbr,time_based,19.82
1157845,126941,2832078,2022-07-21,200m,outdoor,19.31,seconds,1.0,finals,eugene or,noah lyles,M         ,usa,global,time_based,19.31
1297022,142291,3148366,2024-08-08,200m,outdoor,19.46,seconds,1.0,finals,paris,letsile tebogo,M         ,bot,global,time_based,19.46
1157845,134418,2988735,2023-08-25,200m,outdoor,19.52,seconds,1.0,finals,budapest,noah lyles,M         ,usa,global,time_based,19.52
1122149,81430,2410062,2019-10-02,200m,outdoor,21.88,seconds,1.0,finals,doha,dina ashersmith,W         ,gbr,gbr,time_based,21.88
1122149,126941,2832065,2022-07-21,200m,outdoor,22.02,seconds,3.0,finals,eugene or,dina ashersmith,W         ,gbr,gbr,time_based,22.02
1122149,119780,2685645,2021-09-03,200m,outdoor,22.04,seconds,3.0,finals,bruxelles,dina ashersmith,W         ,gbr,gbr,time_based,22.04
1112456,134418,2988784,2023-08-25,200m,outdoor,21.41,seconds,1.0,finals,budapest,shericka jackson,W         ,jam,global,time_based,21.41
1112456,126941,2832065,2022-07-21,200m,outdoor,21.45,seconds,1.0,finals,eugene or,shericka jackson,W         ,jam,global,time_based,21.45
1109479,112541,2658935,2021-08-03,200m,outdoor,21.53,seconds,1.0,finals,tokyo,elaine thompsonherah,W         ,jam,global,time_based,21.53
1105596,141866,3134523,2024-06-30,3000m Steeplechase,outdoor,498.65,seconds,1.0,finals,manchester,phil norman,M         ,gbr,gbr,time_based,498.65
1105596,134895,3128388,2024-06-22,3000m Steeplechase,outdoor,499.58,seconds,2.0,finals,wien,phil norman,M         ,gbr,gbr,time_based,499.58
1105596,89837,2624640,2021-05-19,3000m Steeplechase,outdoor,500.12,seconds,2.0,finals,ostrava,phil norman,M         ,gbr,gbr,time_based,500.12
1143658,81430,2423702,2019-10-04,3000m Steeplechase,outdoor,481.35,seconds,1.0,finals,doha,conseslus kipruto,M         ,ken,global,time_based,481.35
1258966,81430,2423702,2019-10-04,3000m Steeplechase,outdoor,481.36,seconds,2.0,finals,doha,lamecha girma,M         ,eth,global,time_based,481.36
1155876,134418,2988541,2023-08-22,3000m Steeplechase,outdoor,483.53,seconds,1.0,finals,budapest,soufiane el bakkali,M         ,mar,global,time_based,483.53
1145977,142291,3147928,2024-08-06,3000m Steeplechase,outdoor,544.35,seconds,7.0,finals,paris,elizabeth bird,W         ,gbr,gbr,time_based,544.35
1145977,127115,2836759,2022-08-10,3000m Steeplechase,outdoor,547.87,seconds,3.0,finals,monaco,elizabeth bird,W         ,gbr,gbr,time_based,547.87
1145977,134941,3137225,2024-07-07,3000m Steeplechase,outdoor,549.07,seconds,3.0,finals,paris,elizabeth bird,W         ,gbr,gbr,time_based,549.07
1180792,142291,3147928,2024-08-06,3000m Steeplechase,outdoor,532.76,seconds,1.0,finals,paris,winfred yavi,W         ,brn,global,time_based,532.76
1139302,126941,2832015,2022-07-20,3000m Steeplechase,outdoor,533.02,seconds,1.0,finals,eugene or,norah jeruto,W         ,kaz,global,time_based,533.02
1185565,142291,3147928,2024-08-06,3000m Steeplechase,outdoor,533.34,seconds,2.0,finals,paris,peruth chemutai,W         ,uga,global,time_based,533.34
